Time,Speed,RPM,Battery,CAN_ID,Attack_Type,Threat_Level,Alert
40,215.5,2594.72,83.16,0x101,Speed Spoofing,Critical,Yes
41,206.77,2685.29,83.32,0x102,Speed Spoofing,Critical,Yes
42,205.26,2611.22,87.09,0x100,Speed Spoofing,Critical,Yes
43,201.52,2523.8,87.0,0x102,Speed Spoofing,Critical,Yes
44,202.97,2235.91,86.04,0x103,Speed Spoofing,Critical,Yes
45,211.03,2454.66,86.31,0x101,Speed Spoofing,Critical,Yes
46,213.25,2256.63,87.1,0x100,Speed Spoofing,Critical,Yes
47,192.65,2494.94,87.69,0x102,Speed Spoofing,Critical,Yes
48,192.46,2879.36,84.51,0x102,Speed Spoofing,Critical,Yes
49,204.13,2200.34,84.98,0x103,Speed Spoofing,Critical,Yes
70,69.73,9495.41,85.75,0x101,RPM Spoofing,Critical,Yes
71,59.08,8755.42,84.32,0x103,RPM Spoofing,Critical,Yes
72,67.22,8982.14,83.15,0x103,RPM Spoofing,Critical,Yes
73,62.25,8850.48,89.23,0x101,RPM Spoofing,Critical,Yes
74,72.72,8860.3,84.74,0x101,RPM Spoofing,Critical,Yes
75,65.01,9124.16,88.87,0x103,RPM Spoofing,Critical,Yes
76,66.0,8884.41,85.14,0x102,RPM Spoofing,Critical,Yes
77,68.04,9061.28,82.93,0x100,RPM Spoofing,Critical,Yes
78,68.43,8967.45,85.88,0x101,RPM Spoofing,Critical,Yes
79,61.66,8619.79,83.91,0x100,RPM Spoofing,Critical,Yes
95,60.0,2500.0,85.16,0x103,Replay Attack,Medium,Yes
96,60.0,2500.0,83.56,0x100,Replay Attack,Medium,Yes
97,60.0,2500.0,83.24,0x101,Replay Attack,Medium,Yes
98,60.0,2500.0,83.64,0x103,Replay Attack,Medium,Yes
99,60.0,2500.0,86.07,0x102,Replay Attack,Medium,Yes
100,60.0,2500.0,84.78,0x100,Replay Attack,Medium,Yes
101,60.0,2500.0,83.31,0x100,Replay Attack,Medium,Yes
102,60.0,2500.0,85.95,0x101,Replay Attack,Medium,Yes
103,60.0,2500.0,83.89,0x102,Replay Attack,Medium,Yes
104,60.0,2500.0,86.74,0x100,Replay Attack,Medium,Yes
